id,item_id,dept_id,cat_id,store_id,state_id
HOUSEHOLD_1_110_WI_2_validation,HOUSEHOLD_1_110,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI
FOODS_3_491_WI_1_validation,FOODS_3_491,FOODS_3,FOODS,WI_1,WI
FOODS_3_587_CA_4_validation,FOODS_3_587,FOODS_3,FOODS,CA_4,CA
HOUSEHOLD_1_334_WI_2_validation,HOUSEHOLD_1_334,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI
FOODS_3_252_CA_4_validation,FOODS_3_252,FOODS_3,FOODS,CA_4,CA
HOUSEHOLD_1_521_TX_3_validation,HOUSEHOLD_1_521,HOUSEHOLD_1,HOUSEHOLD,TX_3,TX
HOBBIES_1_348_CA_1_validation,HOBBIES_1_348,HOBBIES_1,HOBBIES,CA_1,CA
HOBBIES_1_371_CA_1_validation,HOBBIES_1_371,HOBBIES_1,HOBBIES,CA_1,CA
FOODS_3_808_CA_4_validation,FOODS_3_808,FOODS_3,FOODS,CA_4,CA
HOBBIES_1_254_CA_3_validation,HOBBIES_1_254,HOBBIES_1,HOBBIES,CA_3,CA
FOODS_3_635_CA_4_validation,FOODS_3_635,FOODS_3,FOODS,CA_4,CA
HOUSEHOLD_1_521_TX_1_validation,HOUSEHOLD_1_521,HOUSEHOLD_1,HOUSEHOLD,TX_1,TX
HOUSEHOLD_1_334_TX_3_validation,HOUSEHOLD_1_334,HOUSEHOLD_1,HOUSEHOLD,TX_3,TX
HOUSEHOLD_1_334_TX_1_validation,HOUSEHOLD_1_334,HOUSEHOLD_1,HOUSEHOLD,TX_1,TX
HOUSEHOLD_1_334_TX_2_validation,HOUSEHOLD_1_334,HOUSEHOLD_1,HOUSEHOLD,TX_2,TX
HOUSEHOLD_1_474_TX_2_validation,HOUSEHOLD_1_474,HOUSEHOLD_1,HOUSEHOLD,TX_2,TX
HOUSEHOLD_1_521_TX_2_validation,HOUSEHOLD_1_521,HOUSEHOLD_1,HOUSEHOLD,TX_2,TX
HOUSEHOLD_1_409_WI_2_validation,HOUSEHOLD_1_409,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI
HOUSEHOLD_1_234_TX_2_validation,HOUSEHOLD_1_234,HOUSEHOLD_1,HOUSEHOLD,TX_2,TX
HOUSEHOLD_1_234_TX_1_validation,HOUSEHOLD_1_234,HOUSEHOLD_1,HOUSEHOLD,TX_1,TX
HOUSEHOLD_1_459_TX_3_validation,HOUSEHOLD_1_459,HOUSEHOLD_1,HOUSEHOLD,TX_3,TX
HOUSEHOLD_1_459_TX_1_validation,HOUSEHOLD_1_459,HOUSEHOLD_1,HOUSEHOLD,TX_1,TX
HOUSEHOLD_1_118_TX_3_validation,HOUSEHOLD_1_118,HOUSEHOLD_1,HOUSEHOLD,TX_3,TX
HOUSEHOLD_1_459_WI_3_validation,HOUSEHOLD_1_459,HOUSEHOLD_1,HOUSEHOLD,WI_3,WI
HOUSEHOLD_1_334_WI_3_validation,HOUSEHOLD_1_334,HOUSEHOLD_1,HOUSEHOLD,WI_3,WI
HOUSEHOLD_1_234_CA_2_validation,HOUSEHOLD_1_234,HOUSEHOLD_1,HOUSEHOLD,CA_2,CA
HOUSEHOLD_1_303_CA_2_validation,HOUSEHOLD_1_303,HOUSEHOLD_1,HOUSEHOLD,CA_2,CA
HOUSEHOLD_1_441_WI_3_validation,HOUSEHOLD_1_441,HOUSEHOLD_1,HOUSEHOLD,WI_3,WI
HOUSEHOLD_1_110_WI_3_validation,HOUSEHOLD_1_110,HOUSEHOLD_1,HOUSEHOLD,WI_3,WI
HOUSEHOLD_1_118_CA_1_validation,HOUSEHOLD_1_118,HOUSEHOLD_1,HOUSEHOLD,CA_1,CA
HOBBIES_1_371_CA_4_validation,HOBBIES_1_371,HOBBIES_1,HOBBIES,CA_4,CA
HOBBIES_1_015_CA_2_validation,HOBBIES_1_015,HOBBIES_1,HOBBIES,CA_2,CA
HOBBIES_1_371_WI_1_validation,HOBBIES_1_371,HOBBIES_1,HOBBIES,WI_1,WI
HOUSEHOLD_1_327_CA_2_validation,HOUSEHOLD_1_327,HOUSEHOLD_1,HOUSEHOLD,CA_2,CA
HOBBIES_1_178_CA_4_validation,HOBBIES_1_178,HOBBIES_1,HOBBIES,CA_4,CA
HOUSEHOLD_1_191_CA_2_validation,HOUSEHOLD_1_191,HOUSEHOLD_1,HOUSEHOLD,CA_2,CA
HOUSEHOLD_1_334_CA_1_validation,HOUSEHOLD_1_334,HOUSEHOLD_1,HOUSEHOLD,CA_1,CA
HOUSEHOLD_1_535_CA_1_validation,HOUSEHOLD_1_535,HOUSEHOLD_1,HOUSEHOLD,CA_1,CA
HOBBIES_1_370_WI_1_validation,HOBBIES_1_370,HOBBIES_1,HOBBIES,WI_1,WI
HOUSEHOLD_1_110_CA_1_validation,HOUSEHOLD_1_110,HOUSEHOLD_1,HOUSEHOLD,CA_1,CA
HOBBIES_1_348_CA_2_validation,HOBBIES_1_348,HOBBIES_1,HOBBIES,CA_2,CA
HOBBIES_1_354_TX_3_validation,HOBBIES_1_354,HOBBIES_1,HOBBIES,TX_3,TX
HOUSEHOLD_1_327_WI_1_validation,HOUSEHOLD_1_327,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI
HOUSEHOLD_1_459_WI_1_validation,HOUSEHOLD_1_459,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI
HOBBIES_1_008_TX_2_validation,HOBBIES_1_008,HOBBIES_1,HOBBIES,TX_2,TX
HOUSEHOLD_1_303_WI_1_validation,HOUSEHOLD_1_303,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI
HOBBIES_1_371_TX_3_validation,HOBBIES_1_371,HOBBIES_1,HOBBIES,TX_3,TX
HOUSEHOLD_1_389_WI_1_validation,HOUSEHOLD_1_389,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI
HOBBIES_1_371_TX_2_validation,HOBBIES_1_371,HOBBIES_1,HOBBIES,TX_2,TX
HOBBIES_1_371_WI_2_validation,HOBBIES_1_371,HOBBIES_1,HOBBIES,WI_2,WI
HOBBIES_1_048_WI_3_validation,HOBBIES_1_048,HOBBIES_1,HOBBIES,WI_3,WI
HOBBIES_1_178_WI_2_validation,HOBBIES_1_178,HOBBIES_1,HOBBIES,WI_2,WI
HOBBIES_1_371_TX_1_validation,HOBBIES_1_371,HOBBIES_1,HOBBIES,TX_1,TX
HOBBIES_1_254_TX_1_validation,HOBBIES_1_254,HOBBIES_1,HOBBIES,TX_1,TX
HOBBIES_1_103_WI_3_validation,HOBBIES_1_103,HOBBIES_1,HOBBIES,WI_3,WI
HOUSEHOLD_1_191_CA_4_validation,HOUSEHOLD_1_191,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA
HOUSEHOLD_1_399_CA_4_validation,HOUSEHOLD_1_399,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA
HOUSEHOLD_1_110_CA_4_validation,HOUSEHOLD_1_110,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA
HOUSEHOLD_1_151_CA_4_validation,HOUSEHOLD_1_151,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA
