date,d,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,snap_CA,snap_TX,snap_WI
2015-08-26,d_1671,11530,Wednesday,5,8,2015,,,0,0,0
2015-08-27,d_1672,11530,Thursday,6,8,2015,,,0,0,0
2015-08-28,d_1673,11530,Friday,7,8,2015,,,0,0,0
2015-08-29,d_1674,11531,Saturday,1,8,2015,,,0,0,0
2015-08-30,d_1675,11531,Sunday,2,8,2015,,,0,0,0
2015-08-31,d_1676,11531,Monday,3,8,2015,,,0,0,0
2015-09-01,d_1677,11531,Tuesday,4,9,2015,,,1,1,0
2015-09-02,d_1678,11531,Wednesday,5,9,2015,,,1,0,1
2015-09-03,d_1679,11531,Thursday,6,9,2015,,,1,1,1
2015-09-04,d_1680,11531,Friday,7,9,2015,,,1,0,0
2015-09-05,d_1681,11532,Saturday,1,9,2015,,,1,1,1
2015-09-06,d_1682,11532,Sunday,2,9,2015,,,1,1,1
2015-09-07,d_1683,11532,Monday,3,9,2015,LaborDay,National,1,1,0
2015-09-08,d_1684,11532,Tuesday,4,9,2015,,,1,0,1
2015-09-09,d_1685,11532,Wednesday,5,9,2015,,,1,1,1
2015-09-10,d_1686,11532,Thursday,6,9,2015,,,1,0,0
2015-09-11,d_1687,11532,Friday,7,9,2015,,,0,1,1
2015-09-12,d_1688,11533,Saturday,1,9,2015,,,0,1,1
2015-09-13,d_1689,11533,Sunday,2,9,2015,,,0,1,0
2015-09-14,d_1690,11533,Monday,3,9,2015,,,0,0,1
2015-09-15,d_1691,11533,Tuesday,4,9,2015,,,0,1,1
2015-09-16,d_1692,11533,Wednesday,5,9,2015,,,0,0,0
2015-09-17,d_1693,11533,Thursday,6,9,2015,,,0,0,0
2015-09-18,d_1694,11533,Friday,7,9,2015,,,0,0,0
2015-09-19,d_1695,11534,Saturday,1,9,2015,,,0,0,0
2015-09-20,d_1696,11534,Sunday,2,9,2015,,,0,0,0
2015-09-21,d_1697,11534,Monday,3,9,2015,,,0,0,0
2015-09-22,d_1698,11534,Tuesday,4,9,2015,,,0,0,0
2015-09-23,d_1699,11534,Wednesday,5,9,2015,,,0,0,0
2015-09-24,d_1700,11534,Thursday,6,9,2015,EidAlAdha,Religious,0,0,0
2015-09-25,d_1701,11534,Friday,7,9,2015,,,0,0,0
2015-09-26,d_1702,11535,Saturday,1,9,2015,,,0,0,0
2015-09-27,d_1703,11535,Sunday,2,9,2015,,,0,0,0
2015-09-28,d_1704,11535,Monday,3,9,2015,,,0,0,0
2015-09-29,d_1705,11535,Tuesday,4,9,2015,,,0,0,0
2015-09-30,d_1706,11535,Wednesday,5,9,2015,,,0,0,0
2015-10-01,d_1707,11535,Thursday,6,10,2015,,,1,1,0
2015-10-02,d_1708,11535,Friday,7,10,2015,,,1,0,1
2015-10-03,d_1709,11536,Saturday,1,10,2015,,,1,1,1
2015-10-04,d_1710,11536,Sunday,2,10,2015,,,1,0,0
2015-10-05,d_1711,11536,Monday,3,10,2015,,,1,1,1
2015-10-06,d_1712,11536,Tuesday,4,10,2015,,,1,1,1
2015-10-07,d_1713,11536,Wednesday,5,10,2015,,,1,1,0
2015-10-08,d_1714,11536,Thursday,6,10,2015,,,1,0,1
2015-10-09,d_1715,11536,Friday,7,10,2015,,,1,1,1
2015-10-10,d_1716,11537,Saturday,1,10,2015,,,1,0,0
2015-10-11,d_1717,11537,Sunday,2,10,2015,,,0,1,1
2015-10-12,d_1718,11537,Monday,3,10,2015,ColumbusDay,National,0,1,1
2015-10-13,d_1719,11537,Tuesday,4,10,2015,,,0,1,0
2015-10-14,d_1720,11537,Wednesday,5,10,2015,,,0,0,1
2015-10-15,d_1721,11537,Thursday,6,10,2015,,,0,1,1
2015-10-16,d_1722,11537,Friday,7,10,2015,,,0,0,0
2015-10-17,d_1723,11538,Saturday,1,10,2015,,,0,0,0
2015-10-18,d_1724,11538,Sunday,2,10,2015,,,0,0,0
2015-10-19,d_1725,11538,Monday,3,10,2015,,,0,0,0
2015-10-20,d_1726,11538,Tuesday,4,10,2015,,,0,0,0
2015-10-21,d_1727,11538,Wednesday,5,10,2015,,,0,0,0
2015-10-22,d_1728,11538,Thursday,6,10,2015,,,0,0,0
2015-10-23,d_1729,11538,Friday,7,10,2015,,,0,0,0
2015-10-24,d_1730,11539,Saturday,1,10,2015,,,0,0,0
2015-10-25,d_1731,11539,Sunday,2,10,2015,,,0,0,0
2015-10-26,d_1732,11539,Monday,3,10,2015,,,0,0,0
2015-10-27,d_1733,11539,Tuesday,4,10,2015,,,0,0,0
2015-10-28,d_1734,11539,Wednesday,5,10,2015,,,0,0,0
2015-10-29,d_1735,11539,Thursday,6,10,2015,,,0,0,0
2015-10-30,d_1736,11539,Friday,7,10,2015,,,0,0,0
2015-10-31,d_1737,11540,Saturday,1,10,2015,Halloween,Cultural,0,0,0
2015-11-01,d_1738,11540,Sunday,2,11,2015,,,1,1,0
2015-11-02,d_1739,11540,Monday,3,11,2015,,,1,0,1
2015-11-03,d_1740,11540,Tuesday,4,11,2015,,,1,1,1
2015-11-04,d_1741,11540,Wednesday,5,11,2015,,,1,0,0
2015-11-05,d_1742,11540,Thursday,6,11,2015,,,1,1,1
2015-11-06,d_1743,11540,Friday,7,11,2015,,,1,1,1
2015-11-07,d_1744,11541,Saturday,1,11,2015,,,1,1,0
2015-11-08,d_1745,11541,Sunday,2,11,2015,,,1,0,1
2015-11-09,d_1746,11541,Monday,3,11,2015,,,1,1,1
2015-11-10,d_1747,11541,Tuesday,4,11,2015,,,1,0,0
2015-11-11,d_1748,11541,Wednesday,5,11,2015,VeteransDay,National,0,1,1
2015-11-12,d_1749,11541,Thursday,6,11,2015,,,0,1,1
2015-11-13,d_1750,11541,Friday,7,11,2015,,,0,1,0
2015-11-14,d_1751,11542,Saturday,1,11,2015,,,0,0,1
2015-11-15,d_1752,11542,Sunday,2,11,2015,,,0,1,1
2015-11-16,d_1753,11542,Monday,3,11,2015,,,0,0,0
2015-11-17,d_1754,11542,Tuesday,4,11,2015,,,0,0,0
2015-11-18,d_1755,11542,Wednesday,5,11,2015,,,0,0,0
2015-11-19,d_1756,11542,Thursday,6,11,2015,,,0,0,0
2015-11-20,d_1757,11542,Friday,7,11,2015,,,0,0,0
2015-11-21,d_1758,11543,Saturday,1,11,2015,,,0,0,0
2015-11-22,d_1759,11543,Sunday,2,11,2015,,,0,0,0
2015-11-23,d_1760,11543,Monday,3,11,2015,,,0,0,0
2015-11-24,d_1761,11543,Tuesday,4,11,2015,,,0,0,0
2015-11-25,d_1762,11543,Wednesday,5,11,2015,,,0,0,0
2015-11-26,d_1763,11543,Thursday,6,11,2015,Thanksgiving,National,0,0,0
2015-11-27,d_1764,11543,Friday,7,11,2015,,,0,0,0
2015-11-28,d_1765,11544,Saturday,1,11,2015,,,0,0,0
2015-11-29,d_1766,11544,Sunday,2,11,2015,,,0,0,0
2015-11-30,d_1767,11544,Monday,3,11,2015,,,0,0,0
2015-12-01,d_1768,11544,Tuesday,4,12,2015,,,1,1,0
2015-12-02,d_1769,11544,Wednesday,5,12,2015,,,1,0,1
2015-12-03,d_1770,11544,Thursday,6,12,2015,,,1,1,1
2015-12-04,d_1771,11544,Friday,7,12,2015,,,1,0,0
2015-12-05,d_1772,11545,Saturday,1,12,2015,,,1,1,1
2015-12-06,d_1773,11545,Sunday,2,12,2015,,,1,1,1
2015-12-07,d_1774,11545,Monday,3,12,2015,,,1,1,0
2015-12-08,d_1775,11545,Tuesday,4,12,2015,,,1,0,1
2015-12-09,d_1776,11545,Wednesday,5,12,2015,,,1,1,1
2015-12-10,d_1777,11545,Thursday,6,12,2015,,,1,0,0
2015-12-11,d_1778,11545,Friday,7,12,2015,,,0,1,1
2015-12-12,d_1779,11546,Saturday,1,12,2015,,,0,1,1
2015-12-13,d_1780,11546,Sunday,2,12,2015,,,0,1,0
2015-12-14,d_1781,11546,Monday,3,12,2015,Chanukah End,Religious,0,0,1
2015-12-15,d_1782,11546,Tuesday,4,12,2015,,,0,1,1
2015-12-16,d_1783,11546,Wednesday,5,12,2015,,,0,0,0
2015-12-17,d_1784,11546,Thursday,6,12,2015,,,0,0,0
2015-12-18,d_1785,11546,Friday,7,12,2015,,,0,0,0
2015-12-19,d_1786,11547,Saturday,1,12,2015,,,0,0,0
2015-12-20,d_1787,11547,Sunday,2,12,2015,,,0,0,0
2015-12-21,d_1788,11547,Monday,3,12,2015,,,0,0,0
2015-12-22,d_1789,11547,Tuesday,4,12,2015,,,0,0,0
2015-12-23,d_1790,11547,Wednesday,5,12,2015,,,0,0,0
2015-12-24,d_1791,11547,Thursday,6,12,2015,,,0,0,0
2015-12-25,d_1792,11547,Friday,7,12,2015,Christmas,National,0,0,0
2015-12-26,d_1793,11548,Saturday,1,12,2015,,,0,0,0
2015-12-27,d_1794,11548,Sunday,2,12,2015,,,0,0,0
2015-12-28,d_1795,11548,Monday,3,12,2015,,,0,0,0
2015-12-29,d_1796,11548,Tuesday,4,12,2015,,,0,0,0
2015-12-30,d_1797,11548,Wednesday,5,12,2015,,,0,0,0
2015-12-31,d_1798,11548,Thursday,6,12,2015,,,0,0,0
2016-01-01,d_1799,11548,Friday,7,1,2016,NewYear,National,1,1,0
2016-01-02,d_1800,11549,Saturday,1,1,2016,,,1,0,1
2016-01-03,d_1801,11549,Sunday,2,1,2016,,,1,1,1
2016-01-04,d_1802,11549,Monday,3,1,2016,,,1,0,0
2016-01-05,d_1803,11549,Tuesday,4,1,2016,,,1,1,1
2016-01-06,d_1804,11549,Wednesday,5,1,2016,,,1,1,1
2016-01-07,d_1805,11549,Thursday,6,1,2016,OrthodoxChristmas,Religious,1,1,0
2016-01-08,d_1806,11549,Friday,7,1,2016,,,1,0,1
2016-01-09,d_1807,11550,Saturday,1,1,2016,,,1,1,1
2016-01-10,d_1808,11550,Sunday,2,1,2016,,,1,0,0
2016-01-11,d_1809,11550,Monday,3,1,2016,,,0,1,1
2016-01-12,d_1810,11550,Tuesday,4,1,2016,,,0,1,1
2016-01-13,d_1811,11550,Wednesday,5,1,2016,,,0,1,0
2016-01-14,d_1812,11550,Thursday,6,1,2016,,,0,0,1
2016-01-15,d_1813,11550,Friday,7,1,2016,,,0,1,1
2016-01-16,d_1814,11551,Saturday,1,1,2016,,,0,0,0
2016-01-17,d_1815,11551,Sunday,2,1,2016,,,0,0,0
2016-01-18,d_1816,11551,Monday,3,1,2016,MartinLutherKingDay,National,0,0,0
2016-01-19,d_1817,11551,Tuesday,4,1,2016,,,0,0,0
2016-01-20,d_1818,11551,Wednesday,5,1,2016,,,0,0,0
2016-01-21,d_1819,11551,Thursday,6,1,2016,,,0,0,0
2016-01-22,d_1820,11551,Friday,7,1,2016,,,0,0,0
2016-01-23,d_1821,11552,Saturday,1,1,2016,,,0,0,0
2016-01-24,d_1822,11552,Sunday,2,1,2016,,,0,0,0
2016-01-25,d_1823,11552,Monday,3,1,2016,,,0,0,0
2016-01-26,d_1824,11552,Tuesday,4,1,2016,,,0,0,0
2016-01-27,d_1825,11552,Wednesday,5,1,2016,,,0,0,0
2016-01-28,d_1826,11552,Thursday,6,1,2016,,,0,0,0
2016-01-29,d_1827,11552,Friday,7,1,2016,,,0,0,0
2016-01-30,d_1828,11601,Saturday,1,1,2016,,,0,0,0
2016-01-31,d_1829,11601,Sunday,2,1,2016,,,0,0,0
2016-02-01,d_1830,11601,Monday,3,2,2016,,,1,1,0
2016-02-02,d_1831,11601,Tuesday,4,2,2016,,,1,0,1
2016-02-03,d_1832,11601,Wednesday,5,2,2016,,,1,1,1
2016-02-04,d_1833,11601,Thursday,6,2,2016,,,1,0,0
2016-02-05,d_1834,11601,Friday,7,2,2016,,,1,1,1
2016-02-06,d_1835,11602,Saturday,1,2,2016,,,1,1,1
2016-02-07,d_1836,11602,Sunday,2,2,2016,SuperBowl,Sporting,1,1,0
2016-02-08,d_1837,11602,Monday,3,2,2016,,,1,0,1
2016-02-09,d_1838,11602,Tuesday,4,2,2016,,,1,1,1
2016-02-10,d_1839,11602,Wednesday,5,2,2016,LentStart,Religious,1,0,0
2016-02-11,d_1840,11602,Thursday,6,2,2016,,,0,1,1
2016-02-12,d_1841,11602,Friday,7,2,2016,,,0,1,1
2016-02-13,d_1842,11603,Saturday,1,2,2016,,,0,1,0
2016-02-14,d_1843,11603,Sunday,2,2,2016,ValentinesDay,Cultural,0,0,1
2016-02-15,d_1844,11603,Monday,3,2,2016,PresidentsDay,National,0,1,1
2016-02-16,d_1845,11603,Tuesday,4,2,2016,,,0,0,0
2016-02-17,d_1846,11603,Wednesday,5,2,2016,LentWeek2,Religious,0,0,0
2016-02-18,d_1847,11603,Thursday,6,2,2016,,,0,0,0
2016-02-19,d_1848,11603,Friday,7,2,2016,,,0,0,0
2016-02-20,d_1849,11604,Saturday,1,2,2016,,,0,0,0
2016-02-21,d_1850,11604,Sunday,2,2,2016,,,0,0,0
2016-02-22,d_1851,11604,Monday,3,2,2016,,,0,0,0
2016-02-23,d_1852,11604,Tuesday,4,2,2016,,,0,0,0
2016-02-24,d_1853,11604,Wednesday,5,2,2016,,,0,0,0
2016-02-25,d_1854,11604,Thursday,6,2,2016,,,0,0,0
2016-02-26,d_1855,11604,Friday,7,2,2016,,,0,0,0
2016-02-27,d_1856,11605,Saturday,1,2,2016,,,0,0,0
2016-02-28,d_1857,11605,Sunday,2,2,2016,,,0,0,0
2016-02-29,d_1858,11605,Monday,3,2,2016,,,0,0,0
2016-03-01,d_1859,11605,Tuesday,4,3,2016,,,1,1,0
2016-03-02,d_1860,11605,Wednesday,5,3,2016,,,1,0,1
2016-03-03,d_1861,11605,Thursday,6,3,2016,,,1,1,1
2016-03-04,d_1862,11605,Friday,7,3,2016,,,1,0,0
2016-03-05,d_1863,11606,Saturday,1,3,2016,,,1,1,1
2016-03-06,d_1864,11606,Sunday,2,3,2016,,,1,1,1
2016-03-07,d_1865,11606,Monday,3,3,2016,,,1,1,0
2016-03-08,d_1866,11606,Tuesday,4,3,2016,,,1,0,1
2016-03-09,d_1867,11606,Wednesday,5,3,2016,,,1,1,1
2016-03-10,d_1868,11606,Thursday,6,3,2016,,,1,0,0
2016-03-11,d_1869,11606,Friday,7,3,2016,,,0,1,1
2016-03-12,d_1870,11607,Saturday,1,3,2016,,,0,1,1
2016-03-13,d_1871,11607,Sunday,2,3,2016,,,0,1,0
2016-03-14,d_1872,11607,Monday,3,3,2016,,,0,0,1
2016-03-15,d_1873,11607,Tuesday,4,3,2016,,,0,1,1
2016-03-16,d_1874,11607,Wednesday,5,3,2016,,,0,0,0
2016-03-17,d_1875,11607,Thursday,6,3,2016,StPatricksDay,Cultural,0,0,0
2016-03-18,d_1876,11607,Friday,7,3,2016,,,0,0,0
2016-03-19,d_1877,11608,Saturday,1,3,2016,,,0,0,0
2016-03-20,d_1878,11608,Sunday,2,3,2016,,,0,0,0
2016-03-21,d_1879,11608,Monday,3,3,2016,,,0,0,0
2016-03-22,d_1880,11608,Tuesday,4,3,2016,,,0,0,0
2016-03-23,d_1881,11608,Wednesday,5,3,2016,,,0,0,0
2016-03-24,d_1882,11608,Thursday,6,3,2016,Purim End,Religious,0,0,0
2016-03-25,d_1883,11608,Friday,7,3,2016,,,0,0,0
2016-03-26,d_1884,11609,Saturday,1,3,2016,,,0,0,0
2016-03-27,d_1885,11609,Sunday,2,3,2016,Easter,Cultural,0,0,0
2016-03-28,d_1886,11609,Monday,3,3,2016,,,0,0,0
2016-03-29,d_1887,11609,Tuesday,4,3,2016,,,0,0,0
2016-03-30,d_1888,11609,Wednesday,5,3,2016,,,0,0,0
2016-03-31,d_1889,11609,Thursday,6,3,2016,,,0,0,0
2016-04-01,d_1890,11609,Friday,7,4,2016,,,1,1,0
2016-04-02,d_1891,11610,Saturday,1,4,2016,,,1,0,1
2016-04-03,d_1892,11610,Sunday,2,4,2016,,,1,1,1
2016-04-04,d_1893,11610,Monday,3,4,2016,,,1,0,0
2016-04-05,d_1894,11610,Tuesday,4,4,2016,,,1,1,1
2016-04-06,d_1895,11610,Wednesday,5,4,2016,,,1,1,1
2016-04-07,d_1896,11610,Thursday,6,4,2016,,,1,1,0
2016-04-08,d_1897,11610,Friday,7,4,2016,,,1,0,1
2016-04-09,d_1898,11611,Saturday,1,4,2016,,,1,1,1
2016-04-10,d_1899,11611,Sunday,2,4,2016,,,1,0,0
2016-04-11,d_1900,11611,Monday,3,4,2016,,,0,1,1
2016-04-12,d_1901,11611,Tuesday,4,4,2016,,,0,1,1
2016-04-13,d_1902,11611,Wednesday,5,4,2016,,,0,1,0
2016-04-14,d_1903,11611,Thursday,6,4,2016,,,0,0,1
2016-04-15,d_1904,11611,Friday,7,4,2016,,,0,1,1
2016-04-16,d_1905,11612,Saturday,1,4,2016,,,0,0,0
2016-04-17,d_1906,11612,Sunday,2,4,2016,,,0,0,0
2016-04-18,d_1907,11612,Monday,3,4,2016,,,0,0,0
2016-04-19,d_1908,11612,Tuesday,4,4,2016,,,0,0,0
2016-04-20,d_1909,11612,Wednesday,5,4,2016,,,0,0,0
2016-04-21,d_1910,11612,Thursday,6,4,2016,,,0,0,0
2016-04-22,d_1911,11612,Friday,7,4,2016,,,0,0,0
2016-04-23,d_1912,11613,Saturday,1,4,2016,,,0,0,0
2016-04-24,d_1913,11613,Sunday,2,4,2016,,,0,0,0
2016-04-25,d_1914,11613,Monday,3,4,2016,,,0,0,0
2016-04-26,d_1915,11613,Tuesday,4,4,2016,,,0,0,0
2016-04-27,d_1916,11613,Wednesday,5,4,2016,,,0,0,0
2016-04-28,d_1917,11613,Thursday,6,4,2016,,,0,0,0
2016-04-29,d_1918,11613,Friday,7,4,2016,,,0,0,0
2016-04-30,d_1919,11614,Saturday,1,4,2016,Pesach End,Religious,0,0,0
2016-05-01,d_1920,11614,Sunday,2,5,2016,OrthodoxEaster,Religious,1,1,0
2016-05-02,d_1921,11614,Monday,3,5,2016,,,1,0,1
2016-05-03,d_1922,11614,Tuesday,4,5,2016,,,1,1,1
2016-05-04,d_1923,11614,Wednesday,5,5,2016,,,1,0,0
2016-05-05,d_1924,11614,Thursday,6,5,2016,Cinco De Mayo,Cultural,1,1,1
2016-05-06,d_1925,11614,Friday,7,5,2016,,,1,1,1
2016-05-07,d_1926,11615,Saturday,1,5,2016,,,1,1,0
2016-05-08,d_1927,11615,Sunday,2,5,2016,Mother's day,Cultural,1,0,1
2016-05-09,d_1928,11615,Monday,3,5,2016,,,1,1,1
2016-05-10,d_1929,11615,Tuesday,4,5,2016,,,1,0,0
2016-05-11,d_1930,11615,Wednesday,5,5,2016,,,0,1,1
2016-05-12,d_1931,11615,Thursday,6,5,2016,,,0,1,1
2016-05-13,d_1932,11615,Friday,7,5,2016,,,0,1,0
2016-05-14,d_1933,11616,Saturday,1,5,2016,,,0,0,1
2016-05-15,d_1934,11616,Sunday,2,5,2016,,,0,1,1
2016-05-16,d_1935,11616,Monday,3,5,2016,,,0,0,0
2016-05-17,d_1936,11616,Tuesday,4,5,2016,,,0,0,0
